Portugal,PRT,1996,81.29369
Portugal,PRT,1997,83.36548
Portugal,PRT,1998,84.836
Portugal,PRT,1999,90.897446
Portugal,PRT,2000,86.92667
Portugal,PRT,2001,84.353134
Portugal,PRT,2002,90.251045
Portugal,PRT,2003,82.943
Portugal,PRT,2004,87.91043
Portugal,PRT,2005,91.884384
Portugal,PRT,2006,84.42744
Portugal,PRT,2007,83.85632
Portugal,PRT,2008,84.85321
Portugal,PRT,2009,81.150635
Portugal,PRT,2010,72.60679
Portugal,PRT,2011,75.488716
Portugal,PRT,2012,78.298454
Portugal,PRT,2013,70.894264
Portugal,PRT,2014,69.70747
Portugal,PRT,2015,75.54063
Portugal,PRT,2016,70.72357
Portugal,PRT,2017,78.5582
Portugal,PRT,2018,73.121956
Portugal,PRT,2019,73.62269
Portugal,PRT,2020,68.29146
Portugal,PRT,2021,66.67629
Portugal,PRT,2022,71.03251
